pseudonym,sex,total_duration,first_date,last_date,nbr_washing_instances,active_time_in_weeks,avg_times_per_week,avg_hours_per_week
F8,f,15.0,2022-12-08,2023-07-26,15,32.857142857142854,0.4565217391304348,0.4565217391304348
F9,f,44.75,2022-12-09,2023-11-20,42,49.42857142857143,0.8497109826589595,0.9053468208092486
M1,m,33.0,2022-12-06,2023-12-04,33,51.857142857142854,0.6363636363636364,0.6363636363636364
M10,m,13.0,2022-12-09,2023-11-29,13,50.714285714285715,0.2563380281690141,0.2563380281690141
M11,m,47.5,2022-12-11,2023-12-03,45,51.0,0.8823529411764706,0.9313725490196079
M12,m,10.0,2022-12-12,2023-11-29,10,50.285714285714285,0.19886363636363638,0.19886363636363638
M13,m,47.0,2022-12-12,2023-07-25,43,32.142857142857146,1.3377777777777777,1.462222222222222
M14,m,25.0,2022-12-14,2023-11-07,25,46.857142857142854,0.5335365853658537,0.5335365853658537
M15,m,36.0,2022-12-14,2023-11-21,36,48.857142857142854,0.736842105263158,0.736842105263158
M16,m,45.75,2022-12-14,2023-11-30,42,50.142857142857146,0.8376068376068375,0.9123931623931624
M17,m,46.0,2022-12-15,2023-11-27,45,49.57142857142857,0.9077809798270894,0.9279538904899136
M18,m,12.0,2022-12-16,2023-11-22,12,48.714285714285715,0.24633431085043989,0.24633431085043989
M19,m,30.0,2022-12-16,2023-11-27,30,49.42857142857143,0.6069364161849711,0.6069364161849711
M2,m,41.0,2022-12-06,2023-11-22,40,50.142857142857146,0.7977207977207976,0.8176638176638176
M20,m,36.0,2022-12-17,2023-07-31,33,32.285714285714285,1.0221238938053097,1.1150442477876106
M21,m,4.75,2022-12-17,2023-04-19,4,17.571428571428573,0.22764227642276422,0.2703252032520325
M22,m,9.75,2022-12-18,2023-10-19,8,43.57142857142857,0.1836065573770492,0.2237704918032787
M23,m,10.0,2022-12-19,2023-03-14,10,12.142857142857142,0.823529411764706,0.823529411764706
M24,m,16.0,2022-12-21,2023-08-02,16,32.0,0.5,0.5
M25,m,1.5,2022-12-29,2022-12-29,1,0.0,inf,inf
M26,m,3.0,2023-01-05,2023-07-02,3,25.428571428571427,0.11797752808988765,0.11797752808988765
